Word,Pronunciation,Meaning,Example Sentence,Example Meaning,Sentence Pronunciation,Category
Be,(bi),Olmak,I want to be happy.,Mutlu olmak istiyorum.,(ay vant tu bi he-pi),Verb
Go,(go),Gitmek,Let's go home.,Hadi eve gidelim.,(lets go hom),Verb
Do,(du),Yapmak,I can do it.,Onu yapabilirim.,(ay ken du it),Verb
Have,(hev),Sahip olmak,I have a dream.,Bir hayalim var.,(ay hev ey drim),Verb
Say,(sey),Söylemek,What did you say?,Ne söyledin?,(vat did yu sey),Verb
Get,(get),Almak / Edinmek,I need to get some water.,Biraz su almam gerekiyor.,(ay nid tu get sam vo-týr),Verb
Make,(meyk),Yapmak (Yaratmak),Don't make a mistake.,Hata yapma.,(dont meyk ey mis-teyk),Verb
Know,(nou),Bilmek,I know the answer.,Cevabý biliyorum.,(ay nou di en-sýr),Verb
Think,(tink),Düþünmek,I think you are right.,Bence haklýsýn.,(ay tink yu ar rayt),Verb
Take,(teyk),Almak (Götürmek),Take your umbrella.,Þemsiyeni al.,(teyk yor am-bre-la),Verb
See,(si),Görmek,I see the problem.,Problemi görüyorum.,(ay si dý prob-lým),Verb
Come,(kam),Gelmek,Please come here.,Lütfen buraya gel.,(pliz kam hir),Verb
Want,(vant),Ýstemek,I want to learn.,Öðrenmek istiyorum.,(ay vant tu lörn),Verb
Use,(yuz),Kullanmak,How do I use this?,Bunu nasýl kullanýrým?,(hav du ay yuz dis),Verb
Find,(faynd),Bulmak,I can't find my keys.,Anahtarlarýmý bulamýyorum.,(ay kent faynd may kiz),Verb
Give,(giv),Vermek,Give me a hand.,Bana yardým et.,(giv mi ey hend),Verb
Tell,(tel),Anlatmak,Tell me a story.,Bana bir hikaye anlat.,(tel mi ey sto-ri),Verb
Work,(vörk),Çalýþmak,I work every day.,Her gün çalýþýrým.,(ay vörk ev-ri dey),Verb
Call,(kol),Aramak / Çaðýrmak,Call me later.,Beni sonra ara.,(kol mi ley-týr),Verb
Try,(tray),Denemek,Just try your best.,Sadece elinden geleni dene.,(cast tray yor best),Verb
Ask,(esk),Sormak,Can I ask a question?,Bir soru sorabilir miyim?,(ken ay esk ey kves-çýn),Verb
Need,(nid),Ýhtiyaç duymak,I need help.,Yardýma ihtiyacým var.,(ay nid help),Verb
Feel,(fil),Hissetmek,I feel good today.,Bugün iyi hissediyorum.,(ay fil gud tu-dey),Verb
Become,(bi-kam),Haline gelmek,He will become a doctor.,O bir doktor olacak.,(hi vil bi-kam ey dok-týr),Verb
Leave,(liv),Ayrýlmak,Don't leave me.,Beni terk etme.,(dont liv mi),Verb
